time,accel_x,accel_y,accel_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,temp,humidity,pressure,altitude,fix_q,sat,lat,long,gps_alt,gps_speed,telem_signal
672.189,15.654,-3.005,-10.999,0.147,1.01,-0.167,-0.005,-0.068,0.001,94.689,31.269,996.673,1.731,1.0,6.0,38.636,-90.228,489.501,1.225,-51
672.603,15.556,-2.987,-10.834,0.142,0.992,-0.18,-0.004,-0.066,0.0,94.698,31.083,996.685,0.27,1.0,12.0,38.636,-90.228,489.501,1.225,-52
673.014,15.548,-3.013,-10.863,0.134,0.986,-0.181,-0.007,-0.068,0.001,94.698,31.247,996.695,0.882,1.0,12.0,38.636,-90.228,489.501,1.225,-52
673.428,15.611,-2.985,-10.944,0.148,0.996,-0.165,-0.004,-0.061,0.001,94.679,31.176,996.68,0.921,1.0,12.0,38.636,-90.228,489.501,1.225,-51
673.839,15.546,-3.022,-10.841,0.141,0.99,-0.164,-0.005,-0.066,0.001,94.67,30.924,996.677,0.769,1.0,4.0,38.636,-90.228,489.501,1.225,-51
674.252,15.589,-2.995,-10.928,0.139,0.983,-0.165,-0.008,-0.062,0.0,94.689,31.187,996.689,1.333,1.0,4.0,38.636,-90.228,489.501,1.225,-51
674.664,15.632,-2.979,-10.749,0.132,0.985,-0.17,-0.013,-0.065,-0.001,94.67,31.165,996.691,0.244,1.0,4.0,38.636,-90.228,489.501,1.03,-51
675.075,15.587,-3.034,-10.569,0.138,0.987,-0.175,-0.004,-0.069,-0.001,94.67,30.924,996.704,0.158,1.0,4.0,38.636,-90.228,489.501,1.03,-51
675.488,15.538,-3.003,-10.9,0.129,1.001,-0.178,-0.008,-0.066,0.001,94.679,31.132,996.704,0.205,1.0,6.0,38.636,-90.228,489.829,1.03,-51
675.901,15.564,-2.975,-10.906,0.145,1.002,-0.175,-0.014,-0.063,0.001,94.652,30.99,996.702,1.667,1.0,6.0,38.636,-90.228,489.829,1.03,-52
676.313,15.497,-3.03,-10.987,0.146,0.987,-0.164,-0.008,-0.069,0.004,94.689,31.198,996.694,0.825,1.0,6.0,38.636,-90.228,489.829,1.03,-50
676.726,15.597,-2.981,-10.991,0.144,0.983,-0.163,-0.008,-0.062,0.001,94.661,31.335,996.662,1.151,1.0,12.0,38.636,-90.228,489.829,1.03,-50
677.138,15.583,-2.979,-10.894,0.144,0.991,-0.166,-0.005,-0.068,-0.0,94.661,31.138,996.722,1.007,1.0,12.0,38.636,-90.228,489.829,1.03,-50
677.551,15.538,-2.962,-10.885,0.137,0.991,-0.168,-0.009,-0.06,0.0,94.698,31.231,996.692,0.5,1.0,12.0,38.636,-90.228,489.829,1.03,-51
677.964,15.617,-2.985,-10.971,0.146,0.994,-0.18,-0.008,-0.023,0.001,94.698,31.192,996.69,0.547,1.0,4.0,38.636,-90.228,489.829,1.03,-51
678.377,15.514,-2.971,-10.653,0.14,0.988,-0.176,-0.006,-0.063,0.0,94.716,31.094,996.678,0.937,1.0,4.0,38.636,-90.228,489.829,1.03,-51
678.79,15.552,-3.064,-10.871,0.142,0.993,-0.167,-0.004,-0.064,-0.001,94.716,31.088,996.712,1.597,1.0,4.0,38.636,-90.228,489.829,1.131,-51
679.201,15.573,-3.005,-10.867,0.145,0.991,-0.167,-0.009,-0.064,0.0,94.689,31.247,996.705,0.977,1.0,4.0,38.636,-90.228,489.829,1.131,-51
679.614,15.528,-2.946,-10.916,0.146,0.983,-0.161,-0.009,-0.064,-0.001,94.698,31.148,996.673,0.595,1.0,6.0,38.636,-90.228,490.486,1.131,-52
680.026,15.505,-3.05,-10.816,0.143,0.988,-0.172,-0.009,-0.06,0.001,94.689,31.214,996.679,0.604,1.0,6.0,38.636,-90.228,490.486,1.131,-51
680.438,15.607,-3.07,-10.883,0.138,0.988,-0.166,-0.009,-0.063,0.0,94.679,31.329,996.687,0.747,1.0,6.0,38.636,-90.228,490.486,1.131,-50
680.852,15.636,-3.026,-10.957,0.121,0.992,-0.168,-0.005,-0.06,0.002,94.698,31.153,996.704,-0.134,1.0,12.0,38.636,-90.228,490.486,1.131,-51
681.267,15.53,-3.024,-10.906,0.138,0.982,-0.176,-0.009,-0.06,0.001,94.707,31.115,996.712,1.471,1.0,12.0,38.636,-90.228,490.486,1.131,-51
681.68,15.607,-3.019,-10.883,0.143,0.987,-0.176,-0.003,-0.061,0.001,94.725,31.011,996.717,0.812,1.0,12.0,38.636,-90.228,490.486,1.131,-51
682.091,15.595,-2.975,-11.014,0.151,0.982,-0.171,-0.004,-0.066,-0.001,94.725,31.055,996.696,1.193,1.0,4.0,38.636,-90.228,490.486,1.131,-51
682.504,15.701,-3.109,-10.843,0.144,0.99,-0.179,-0.011,-0.063,0.002,94.735,31.082,996.698,0.647,1.0,4.0,38.636,-90.228,490.486,1.131,-51
682.918,15.487,-3.013,-10.873,0.142,0.991,-0.178,0.001,-0.065,0.001,94.735,31.241,996.697,0.265,1.0,4.0,38.636,-90.228,490.486,1.06,-52
683.33,15.575,-2.975,-11.008,0.141,0.99,-0.178,-0.008,-0.063,-0.001,94.735,31.148,996.656,0.963,1.0,4.0,38.636,-90.228,490.486,1.06,-52
683.747,15.526,-2.991,-11.042,0.14,0.985,-0.168,-0.007,-0.064,0.002,94.716,30.929,996.71,0.946,1.0,6.0,38.636,-90.228,491.47,1.06,-52
684.159,15.617,-3.046,-10.955,0.139,0.985,-0.18,-0.01,-0.065,0.001,94.735,31.017,996.684,1.67,1.0,6.0,38.636,-90.228,491.47,1.06,-52
